"roll","pitch","yaw","f0","RMSenergy"
-18.86717,2.9846,-7.93304,0,0.00157103164186704
-18.84793,3.016,-7.9079,0,0.0015760952729742
-18.84271,3.09028,-7.93294,0,0.00155750514687847
-18.82734,3.19058,-7.97196,0,0.00152866662277909
-18.83491,3.23723,-7.96495,0,0.00154974717677869
-18.80944,3.41341,-8.02661,0,0.00170809502565014
-18.77462,3.58905,-8.0962,0,0.00194231676487622
-18.71689,3.75801,-8.16955,0,0.0030833283638122
-18.65054,3.8385,-8.24338,-2.52125873058739,0.00499115403707224
-18.56795,3.96702,-8.35232,89.8183755860134,0.00773662899878408
-18.47806,4.06162,-8.44656,181.20644274684,0.010266493324252
-18.38908,4.17525,-8.60196,271.336889784091,0.0126660167212268
-18.26921,4.31252,-8.79604,267.217779674061,0.0150186850973291
-18.14225,4.42763,-8.9578,265.202473139186,0.0172830199379698
-18.00567,4.513,-9.12512,268.044124266244,0.0193062261613834
-17.86004,4.58612,-9.27259,269.649017716404,0.0207671814428203
-17.7246,4.61678,-9.40939,269.005434380764,0.0216556062717508
-17.63239,4.53424,-9.4959,267.505083283637,0.0219586368021879
-17.52934,4.46221,-9.58474,266.697255984721,0.0217521335566372
-17.45255,4.43691,-9.58862,266.71787119672,0.0212197771605266
-17.3785,4.33284,-9.60152,265.423961730935,0.0205401931444242
-17.33162,4.17617,-9.54783,262.021463386073,0.0198737517439925
-17.2749,4.06686,-9.52408,257.190755011243,0.0192812451865958
-17.23668,4.05406,-9.50823,252.397913354459,0.0186343911362607
-17.19935,3.96678,-9.47162,248.498041602161,0.0179449591576159
-17.16961,3.88232,-9.39718,243.509272092005,0.0168159113333508
-17.17665,3.8321,-9.26146,244.277895867768,0.015197726446281
-17.15473,3.79126,-9.2557,166.825449947435,0.0130408554917711
-17.12786,3.75528,-9.26553,87.8604612752487,0.01054942338938
-17.10298,3.74492,-9.24026,4.25925103539645,0.00852975944655038
-17.08528,3.71889,-9.19785,0,0.006657845123836
-17.05211,3.69081,-9.17922,-3.95470495269172,0.00546646138270187
-17.01673,3.72173,-9.20091,78.5011089659505,0.00450189847581083
-16.99394,3.73358,-9.18266,169.155983606995,0.00418840204699034
-16.95927,3.7976,-9.18904,178.314175282933,0.0041112394898144
-16.91125,3.82198,-9.24357,96.1629073212889,0.00400024828937592
-16.85921,3.85676,-9.28202,5.30796422374289,0.00376632884243272
-16.81046,3.85387,-9.29681,0,0.00348567797072457
-16.76805,3.84297,-9.29082,-4.21235674356233,0.00332035728590402
-16.68625,3.88933,-9.38555,73.6621484511892,0.00320584452069483
-16.63382,3.958,-9.37966,156.610052818373,0.00312278954854109
-16.57253,3.96429,-9.36419,252.822401957432,0.00303955149741291
-16.52874,3.99958,-9.36847,181.131735886325,0.00300777272900493
-16.47995,4.0333,-9.38681,98.1933691780809,0.00290059500470652
-16.42708,4.10845,-9.40379,6.20220138950707,0.00349855354353902
-16.36803,4.20764,-9.37079,0,0.00481164758171118
-16.30793,4.31438,-9.35778,0,0.00709076922830345
-16.20244,4.53006,-9.39713,0,0.00930657909072202
-16.09872,4.70537,-9.35476,-4.81875403956024,0.0116031451602423
-16.00151,4.8646,-9.33638,71.9303466823174,0.0138160422854289
-15.91349,4.99468,-9.17927,156.868767880535,0.0159725089632944
-15.84813,5.23289,-8.94058,248.922346341226,0.0178726781478849
-15.73435,5.49181,-8.79305,260.373008693212,0.0190799195089585
-15.61143,5.65964,-8.51152,264.058485481258,0.0201261921737894
-15.4667,5.78771,-8.15858,266.369202369346,0.0209179218474011
-15.29229,5.8967,-7.80044,268.690839180438,0.0217902112406047
-15.13588,6.02467,-7.29502,269.663090312359,0.0224725425396107
-14.99395,6.04577,-6.64975,269.088396348147,0.0232729718124203
-14.82017,6.05431,-5.94803,267.552687925803,0.0245334821797755
-14.62753,6.05638,-5.18525,267.370742694237,0.0258052742302527
-14.43748,6.01307,-4.32645,268.104952706621,0.0266695299045228
-14.20994,5.92802,-3.36387,268.272073889311,0.0268185782005994
